monster_id,canonical_name,classification,ai_code,actor_family,server_race,source_actor_file,source_dispatch,delivery_kind,area_type,stationary,attack_interval_ms,runtime_route,shared_test_scope,implementation_acceptance
18,毒蜘蛛,ordinary,4,TSpitSpider,82,dev_art_sources/reference/original_gameofmir/M2Server/ObjMon.pas,dev_art_sources/reference/original_gameofmir/M2Server/UsrEngn.pas:1831-1938,,,,2500,PENDING_ACTOR_DELIVERY_PROOF,,PENDING_ACTOR_PROOF
19,蛤蟆,ordinary,0,TSlowATMonster,83,dev_art_sources/reference/original_gameofmir/M2Server/ObjMon.pas,dev_art_sources/reference/original_gameofmir/M2Server/UsrEngn.pas:1831-1938,,,,2500,PENDING_ACTOR_DELIVERY_PROOF,,PENDING_ACTOR_PROOF
21,稻草人,ordinary,0,TSlowATMonster,83,dev_art_sources/reference/original_gameofmir/M2Server/ObjMon.pas,dev_art_sources/reference/original_gameofmir/M2Server/UsrEngn.pas:1831-1938,,,,2500,PENDING_ACTOR_DELIVERY_PROOF,,PENDING_ACTOR_PROOF
24,多钩猫,ordinary,0,TATMonster,81,dev_art_sources/reference/original_gameofmir/M2Server/ObjMon.pas,dev_art_sources/reference/original_gameofmir/M2Server/UsrEngn.pas:1831-1938,,,,2500,PENDING_ACTOR_DELIVERY_PROOF,,PENDING_ACTOR_PROOF
26,钉耙猫,ordinary,0,TATMonster,81,dev_art_sources/reference/original_gameofmir/M2Server/ObjMon.pas,dev_art_sources/reference/original_gameofmir/M2Server/UsrEngn.pas:1831-1938,,,,2500,PENDING_ACTOR_DELIVERY_PROOF,,PENDING_ACTOR_PROOF
28,森林雪人,ordinary,0,TSlowATMonster,83,dev_art_sources/reference/original_gameofmir/M2Server/ObjMon.pas,dev_art_sources/reference/original_gameofmir/M2Server/UsrEngn.pas:1831-1938,,,,2500,PENDING_ACTOR_DELIVERY_PROOF,,PENDING_ACTOR_PROOF
30,食人花,ordinary,5,TStickMonster,85,dev_art_sources/reference/original_gameofmir/M2Server/ObjMon2.pas,dev_art_sources/reference/original_gameofmir/M2Server/UsrEngn.pas:1831-1938,,,True,2500,PENDING_ACTOR_DELIVERY_PROOF,,PENDING_ACTOR_PROOF
31,多钩猫王,elite,0,TATMonster,81,dev_art_sources/reference/original_gameofmir/M2Server/ObjMon.pas,dev_art_sources/reference/original_gameofmir/M2Server/UsrEngn.pas:1831-1938,,,,2300,PENDING_ACTOR_DELIVERY_PROOF,,PENDING_ACTOR_PROOF
32,钉耙猫王,elite,0,TATMonster,81,dev_art_sources/reference/original_gameofmir/M2Server/ObjMon.pas,dev_art_sources/reference/original_gameofmir/M2Server/UsrEngn.pas:1831-1938,,,,2300,PENDING_ACTOR_DELIVERY_PROOF,,PENDING_ACTOR_PROOF
34,半兽人,ordinary,0,TSlowATMonster,83,dev_art_sources/reference/original_gameofmir/M2Server/ObjMon.pas,dev_art_sources/reference/original_gameofmir/M2Server/UsrEngn.pas:1831-1938,,,,2500,PENDING_ACTOR_DELIVERY_PROOF,,PENDING_ACTOR_PROOF
36,半兽战士,ordinary,0,TATMonster,81,dev_art_sources/reference/original_gameofmir/M2Server/ObjMon.pas,dev_art_sources/reference/original_gameofmir/M2Server/UsrEngn.pas:1831-1938,,,,2000,PENDING_ACTOR_DELIVERY_PROOF,,PENDING_ACTOR_PROOF
38,半兽勇士,elite,0,TATMonster,81,dev_art_sources/reference/original_gameofmir/M2Server/ObjMon.pas,dev_art_sources/reference/original_gameofmir/M2Server/UsrEngn.pas:1831-1938,,,,1500,PENDING_ACTOR_DELIVERY_PROOF,,PENDING_ACTOR_PROOF
39,半兽勇士1,special,0,TATMonster,81,dev_art_sources/reference/original_gameofmir/M2Server/ObjMon.pas,dev_art_sources/reference/original_gameofmir/M2Server/UsrEngn.pas:1831-1938,,,,1800,PENDING_ACTOR_DELIVERY_PROOF,,PENDING_ACTOR_PROOF
41,半兽勇士9,elite,0,UNRESOLVED,,,,,,,1500,UNRESOLVED_ACTOR_AND_DELIVERY,,PENDING_ACTOR_PROOF
42,半兽统领,elite,0,TArcherMonster,104,dev_art_sources/reference/original_gameofmir/M2Server/ObjAxeMon.pas,dev_art_sources/reference/original_gameofmir/M2Server/UsrEngn.pas:1831-1938,,,,1800,PENDING_ACTOR_DELIVERY_PROOF,,PENDING_ACTOR_PROOF
43,山洞蝙蝠,ordinary,0,TATMonster,81,dev_art_sources/reference/original_gameofmir/M2Server/ObjMon.pas,dev_art_sources/reference/original_gameofmir/M2Server/UsrEngn.pas:1831-1938,,,,2500,PENDING_ACTOR_DELIVERY_PROOF,,PENDING_ACTOR_PROOF
45,蝎子,ordinary,9,TScorpion,84,dev_art_sources/reference/original_gameofmir/M2Server/ObjMon.pas,dev_art_sources/reference/original_gameofmir/M2Server/UsrEngn.pas:1831-1938,,,,2500,PENDING_ACTOR_DELIVERY_PROOF,,PENDING_ACTOR_PROOF
46,洞蛆,ordinary,7,TGasAttackMonster,90,dev_art_sources/reference/original_gameofmir/M2Server/ObjMon.pas,dev_art_sources/reference/original_gameofmir/M2Server/UsrEngn.pas:1831-1938,,,,2500,PENDING_ACTOR_DELIVERY_PROOF,,PENDING_ACTOR_PROOF
47,骷髅,ordinary,0,TATMonster,86,dev_art_sources/reference/original_gameofmir/M2Server/ObjMon.pas,dev_art_sources/reference/original_gameofmir/M2Server/UsrEngn.pas:1831-1938,,,,2500,PENDING_ACTOR_DELIVERY_PROOF,,PENDING_ACTOR_PROOF
