工作表,怪物ID,Excel行,物品名,E原始输入或展开公式,候选分数,需补字段,处置
双头血魔,162,73,法神戒指,'=1/12,1/12,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
双头血魔,162,74,法神手镯,'=1/12,1/12,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
双头血魔,162,75,法神项链,'=1/12,1/12,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
双头血魔,162,76,法神头盔,'=1/12,1/12,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
双头血魔,162,77,天尊戒指,0.08333333333333333,1/12,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
双头血魔,162,78,天尊手镯,0.08333333333333333,1/12,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
双头血魔,162,79,天尊项链,0.08333333333333333,1/12,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
双头血魔,162,80,天尊头盔,0.08333333333333333,1/12,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
双头金刚,163,76,圣战戒指,0.08333333333333333,1/12,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
双头金刚,163,77,圣战手镯,0.08333333333333333,1/12,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
双头金刚,163,78,圣战项链,0.08333333333333333,1/12,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
双头金刚,163,79,圣战头盔,0.08333333333333333,1/12,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
双头金刚,163,80,天尊戒指,0.08333333333333333,1/12,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
双头金刚,163,81,天尊手镯,0.08333333333333333,1/12,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
双头金刚,163,82,天尊项链,0.08333333333333333,1/12,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
双头金刚,163,83,天尊头盔,0.08333333333333333,1/12,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
