工作表,怪物ID,单元格,物品名,OOXML原始数字,候选精确分数,与候选float是否一致,候选性质
沃玛战将,68,E8,魔法药(中量),0.2,1/5,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E9,太阳水,0.2,1/5,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E10,八荒,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E11,六角戒指,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E12,凌风,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E13,凤凰明珠,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E14,半月,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E15,古铜戒指,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E16,坚固手套,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E17,大手镯,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E18,小手镯,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E19,海魂,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E20,灯笼项链,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E21,牛角戒指,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E22,玻璃戒指,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E23,琥珀项链,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E24,皮制手套,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E25,短剑,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E26,蓝色水晶戒指,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E27,轻型盔甲(男),2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E29,钢手镯,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E30,铁剑,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E31,银手镯,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E32,青铜剑,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
