工作表,怪物ID,Excel行,展示名,源物品ID,单槽概率,独立槽个数,代表槽ID,尚缺信息
暗黑战士,62,48,降魔 ×2,96,1/80,2,dpv2.direct.m62.slot_036,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
红蛇,92,23,铁手镯 ×2,174,1/40,2,dpv2.direct.m92.v505_0022,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虎蛇,94,23,铁手镯 ×2,174,1/40,2,dpv2.direct.m94.v505_0023,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
跳跳蜂,114,40,黑檀手镯 ×2,184,1/60,2,dpv2.direct.m114.slot_017,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
祖玛雕像,153,8,太阳水 ×3,920014,1/20,3,dpv2.direct.m153.slot_005,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
祖玛卫士,156,51,太阳水 ×4,920014,1/60,4,dpv2.direct.m156.slot_005,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
牛魔将军,218,7,强效太阳水 ×2,920016,1/2,2,dpv2.direct.m218.slot_008,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
牛魔法师,220,8,太阳水 ×2,920014,1/20,2,dpv2.direct.m220.slot_004,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
牛魔祭司,222,6,超级金创药 ×2,920017,1/2,2,dpv2.direct.m222.slot_007,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
牛魔祭司,222,7,超级魔法药 ×2,920042,1/2,2,dpv2.direct.m222.slot_008,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
牛魔祭司,222,8,强效太阳水 ×5,920016,1/3,5,dpv2.direct.m222.slot_009,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
牛魔祭司,222,10,强效太阳水 ×5,920016,1/6,5,dpv2.direct.m222.slot_005,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
半兽勇士,38,6,金创药(中量) ×3,920044,1/1,3,dpv2.direct.m38.slot_004,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
半兽勇士,38,8,魔法药(中量) ×3,920052,1/1,3,dpv2.direct.m38.slot_001,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
半兽勇士,38,9,太阳水 ×5,920014,1/2,5,dpv2.direct.m38.slot_007,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
半兽勇士,38,10,强效太阳水 ×2,920016,1/2,2,dpv2.direct.m38.slot_012,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
半兽勇士,38,11,金创药(中量) ×2,920044,1/2,2,dpv2.direct.m38.slot_017,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
半兽勇士,38,12,魔法药(中量) ×2,920052,1/2,2,dpv2.direct.m38.slot_015,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
半兽勇士,38,13,太阳水 ×5,920014,1/4,5,dpv2.direct.m38.slot_019,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
半兽勇士,38,14,强效太阳水 ×3,920016,1/4,3,dpv2.direct.m38.slot_024,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
骷髅精灵,56,6,金创药(中量) ×3,920044,1/1,3,dpv2.direct.m56.slot_024,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
骷髅精灵,56,8,魔法药(中量) ×3,920052,1/1,3,dpv2.direct.m56.slot_029,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
