工作表,怪物ID,位置,内容,审阅建议
食人花,30,整表,无具名奖励,保留明确的空掉落profile；不得回退旧表
蝎子,45,整表,无具名奖励,保留明确的空掉落profile；不得回退旧表
毒蜘蛛,18,整表,无具名奖励,保留明确的空掉落profile；不得回退旧表
羊,96,整表,无具名奖励,保留明确的空掉落profile；不得回退旧表
狼,100,整表,无具名奖励,保留明确的空掉落profile；不得回退旧表
暗黑战士,62,E26,'=1/40,只有爆率无奖励身份：记录残留，不生成奖励、不猜恢复物品
大老鼠,148,E41,'=1/60,只有爆率无奖励身份：记录残留，不生成奖励、不猜恢复物品
大老鼠,148,E45,'=1/60,只有爆率无奖励身份：记录残留，不生成奖励、不猜恢复物品
半兽勇士,38,E44,'=1/15,只有爆率无奖励身份：记录残留，不生成奖励、不猜恢复物品
骷髅战将,54,E22,'=1/15,只有爆率无奖励身份：记录残留，不生成奖励、不猜恢复物品
祖玛教主,160,E60,'=1/8,只有爆率无奖励身份：记录残留，不生成奖励、不猜恢复物品
祖玛教主,160,E62,'=1/8,只有爆率无奖励身份：记录残留，不生成奖励、不猜恢复物品
