工作表,怪物ID,目录原掉落项数,当前具名奖励行数,处置
稻草人,21,15,14,目录是旧摘要，不可据此回填删除项
多钩猫,24,14,13,目录是旧摘要，不可据此回填删除项
钉耙猫,26,13,12,目录是旧摘要，不可据此回填删除项
森林雪人,28,25,24,目录是旧摘要，不可据此回填删除项
食人花,30,2,0,目录是旧摘要，不可据此回填删除项
半兽人,34,23,22,目录是旧摘要，不可据此回填删除项
半兽战士,36,28,27,目录是旧摘要，不可据此回填删除项
蝎子,45,1,0,目录是旧摘要，不可据此回填删除项
洞蛆,46,2,1,目录是旧摘要，不可据此回填删除项
骷髅,47,34,33,目录是旧摘要，不可据此回填删除项
骷髅战士,52,36,35,目录是旧摘要，不可据此回填删除项
暗黑战士,62,47,46,目录是旧摘要，不可据此回填删除项
沃玛战士,64,50,49,目录是旧摘要，不可据此回填删除项
沃玛勇士,66,52,51,目录是旧摘要，不可据此回填删除项
沃玛战将,68,49,48,目录是旧摘要，不可据此回填删除项
红蛇,92,32,31,目录是旧摘要，不可据此回填删除项
虎蛇,94,33,32,目录是旧摘要，不可据此回填删除项
盔甲虫,101,33,32,目录是旧摘要，不可据此回填删除项
蜈蚣,110,50,46,目录是旧摘要，不可据此回填删除项
跳跳蜂,114,49,46,目录是旧摘要，不可据此回填删除项
巨型蠕虫,116,50,47,目录是旧摘要，不可据此回填删除项
钳虫,118,50,47,目录是旧摘要，不可据此回填删除项
红野猪,129,53,50,目录是旧摘要，不可据此回填删除项
黑野猪,132,50,47,目录是旧摘要，不可据此回填删除项
蝎蛇,138,50,47,目录是旧摘要，不可据此回填删除项
大老鼠,148,55,52,目录是旧摘要，不可据此回填删除项
祖玛弓箭手,150,53,50,目录是旧摘要，不可据此回填删除项
祖玛雕像,153,56,53,目录是旧摘要，不可据此回填删除项
祖玛卫士,156,57,54,目录是旧摘要，不可据此回填删除项
月魔蜘蛛,168,52,49,目录是旧摘要，不可据此回填删除项
黑锷蜘蛛,170,52,49,目录是旧摘要，不可据此回填删除项
钢牙蜘蛛,172,51,48,目录是旧摘要，不可据此回填删除项
天狼蜘蛛,176,51,48,目录是旧摘要，不可据此回填删除项
花吻蜘蛛,178,51,48,目录是旧摘要，不可据此回填删除项
幻影蜘蛛,182,52,49,目录是旧摘要，不可据此回填删除项
骷髅锤兵,200,43,40,目录是旧摘要，不可据此回填删除项
骷髅长枪兵,202,47,46,目录是旧摘要，不可据此回填删除项
骷髅刀斧手,204,40,37,目录是旧摘要，不可据此回填删除项
骷髅弓箭手,206,51,48,目录是旧摘要，不可据此回填删除项
牛头魔,210,48,45,目录是旧摘要，不可据此回填删除项
牛魔战士,212,35,32,目录是旧摘要，不可据此回填删除项
牛魔斗士,214,49,46,目录是旧摘要，不可据此回填删除项
牛魔将军,218,56,53,目录是旧摘要，不可据此回填删除项
牛魔法师,220,57,54,目录是旧摘要，不可据此回填删除项
牛魔祭司,222,50,47,目录是旧摘要，不可据此回填删除项
半兽勇士,38,46,45,目录是旧摘要，不可据此回填删除项
骷髅战将,54,38,37,目录是旧摘要，不可据此回填删除项
沃玛卫士,73,75,72,目录是旧摘要，不可据此回填删除项
沃玛卫士1,74,29,26,目录是旧摘要，不可据此回填删除项
邪恶钳虫,120,87,84,目录是旧摘要，不可据此回填删除项
虹魔猪卫,188,86,83,目录是旧摘要，不可据此回填删除项
虹魔蝎卫,191,79,76,目录是旧摘要，不可据此回填删除项
沃玛教主,76,77,53,目录是旧摘要，不可据此回填删除项
触龙神,124,83,48,目录是旧摘要，不可据此回填删除项
石墓尸王,143,83,47,目录是旧摘要，不可据此回填删除项
祖玛教主,160,96,61,目录是旧摘要，不可据此回填删除项
双头血魔,162,90,56,目录是旧摘要，不可据此回填删除项
双头金刚,163,91,51,目录是旧摘要，不可据此回填删除项
赤月恶魔,180,105,70,目录是旧摘要，不可据此回填删除项
虹魔教主,193,106,54,目录是旧摘要，不可据此回填删除项
黄泉教主,208,87,48,目录是旧摘要，不可据此回填删除项
牛魔王,224,119,61,目录是旧摘要，不可据此回填删除项
毒蜘蛛,18,1,0,目录是旧摘要，不可据此回填删除项
羊,96,2,0,目录是旧摘要，不可据此回填删除项
狼,100,2,0,目录是旧摘要，不可据此回填删除项
多角虫,105,31,29,目录是旧摘要，不可据此回填删除项
黑色恶蛆,112,53,50,目录是旧摘要，不可据此回填删除项
血巨人,164,51,48,目录是旧摘要，不可据此回填删除项
血僵尸,166,51,48,目录是旧摘要，不可据此回填删除项
暴牙蜘蛛,174,52,49,目录是旧摘要，不可据此回填删除项
剧毒蜘蛛,185,2,1,目录是旧摘要，不可据此回填删除项
多钩猫王,31,33,30,目录是旧摘要，不可据此回填删除项
钉耙猫王,32,33,30,目录是旧摘要，不可据此回填删除项
半兽统领,42,37,34,目录是旧摘要，不可据此回填删除项
祖玛卫士00,159,76,49,目录是旧摘要，不可据此回填删除项
