工作表,怪物ID,Excel行,物品名,B物品ID,C奖励类型,D金币金额,E公式或原数字,E表示类型,数值候选或公式精确分数,F显示来源,G历史构成,H原槽字段
稻草人,21,6,金币,,金币,150,'=1/4,exact_formula,1/4,'=E6,SPB:BYPASS_GOLD,dpv2.direct.m21.slot_001
稻草人,21,7,金创药(小量),920045,物品,,'=1/5,exact_formula,1/5,'=E7,SPB:BYPASS_COMMON_RECOVERY,dpv2.direct.m21.slot_002
稻草人,21,8,魔法药(小量),920053,物品,,'=1/5,exact_formula,1/5,'=E8,SPB:BYPASS_COMMON_RECOVERY,dpv2.direct.m21.slot_003
稻草人,21,9,乌木剑,82,物品,,'=1/20,exact_formula,1/20,'=E9,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m21.slot_008
稻草人,21,10,传统项链,154,物品,,'=1/20,exact_formula,1/20,'=E10,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m21.slot_004
稻草人,21,11,匕首,81,物品,,'=1/20,exact_formula,1/20,'=E11,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m21.slot_009
稻草人,21,12,古铜戒指,197,物品,,'=1/20,exact_formula,1/20,'=E12,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m21.slot_006
稻草人,21,13,布衣(男),116,物品,,'=1/20,exact_formula,1/20,'=E13,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m21.slot_012
稻草人,21,15,木剑,80,物品,,'=1/20,exact_formula,1/20,'=E15,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m21.slot_010
稻草人,21,16,金项链,153,物品,,'=1/20,exact_formula,1/20,'=E16,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m21.slot_007
稻草人,21,17,铁手镯,174,物品,,'=1/20,exact_formula,1/20,'=E17,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m21.slot_005
稻草人,21,18,体力强效神水,910001,物品,,'=1/60,exact_formula,1/60,'=E18,SPB:AUTO_BOOST;小怪神水分母x6,dpv2.direct.m21.slot_013
稻草人,21,19,攻击神水,910004,物品,,'=1/60,exact_formula,1/60,'=E19,SPB:AUTO_BOOST;小怪神水分母x6,dpv2.direct.m21.slot_015
稻草人,21,20,疾风神水,910003,物品,,'=1/60,exact_formula,1/60,'=E20,SPB:AUTO_BOOST;小怪神水分母x6,dpv2.direct.m21.slot_014
多钩猫,24,6,金币,,金币,250,'=1/4,exact_formula,1/4,'=E6,SPB:BYPASS_GOLD,dpv2.direct.m24.slot_001
多钩猫,24,7,乌木剑,82,物品,,'=1/20,exact_formula,1/20,'=E7,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m24.slot_007
多钩猫,24,8,传统项链,154,物品,,'=1/20,exact_formula,1/20,'=E8,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m24.slot_003
